Sentiment Label,Ratings,Feedback_PT
1,5,"Hospital bom e limpo. Há uma ótima equipe de médicos e boa instalação de OT. As instalações médicas são ótimas, com bons cuidados pós-operatórios em pacientes internados por médicos, enfermeiros. A equipe de limpeza também é boa, mas eles podem responder às ligações da sala um pouco mais rápidas."
1,5,Tive uma experiência muito ruim durante a alta. Eles precisam ser sensíveis e mais transparentes em relação ao paciente e à sua família.
1,4,Eu visitei para tomar minha segunda dose e processo foi realmente suave. A hospitalidade de todas as equipes é realmente apreciável. Shanti tomou um bom cuidado e fornece todos os detalhes antes da vacinação. Obrigado.
1,3,"Essa pessoa não tinha noção e ofereceu apenas um pacote. Mas quando cheguei ao hospital, encontrei um melhor e mais econômico e decidi ir em frente"
0,1,Há uma ótima equipe de médicos e boa instalação de OT.
0,2,"Minha principal preocupação surgiu da insistência na realização de vários testes, que pareciam não relacionados à minha condição, antes de iniciar qualquer tratamento."
1,5,"Hospital bom e limpo.  As instalações médicas são ótimas, com bons cuidados pós-operatórios em pacientes internados por médicos, enfermeiros. A equipe de limpeza também é boa, mas eles podem responder às ligações da sala um pouco mais rápidas."
1,3,"Recentemente, passou por uma cirurgia para o meu ombro esquerdo, os médicos são extremamente bons, mas a gerência precisa ser mais orientada para os pacientes do que o dinheiro."
1,5,"Ao longo de toda a experiência, foi bom, a partir da recepção, serviços de laboratório e interação médicos."
1,5,"No entanto, os serviços do Front Office (onde relatamos primeiro) precisam ser aprimorados (os serviços devem ser rápidos)."
1,4,"Outros sábios sem queixas, totalmente satisfeitos."
1,5,Graças ao médico de emergência Abhishek e ao guarda de segurança lá
1,5,Eles têm médicos especialistas que fazem os medicamentos certos e ajudam os pacientes a se recuperar rapidamente.
1,4,Eu realmente gostei do serviço lá!
0,2,Hospital sem esperança. Não sei como eles conseguiram JCI e Nabh. Eles não têm valor para os pacientes ou o tempo de seus atendentes.
0,1,"Recepcionistas só querem dinheiro. Eles não se importam se o médico estiver 2 horas atrasado, mas dão dinheiro a eles."
0,2,"Eu fui para o meu pai. Ele tem traqueostomia e todos os problemas. Eles o fizeram esperar por 1 hora, disse esperar se você quiser ou ir."
0,1,"Liguei para eles para marcar uma consulta, solicitei um médico sênior e procurei seus anos de experiência, eles não querem compartilhá -lo, a transparência não está lá. Quando liguei para o Appolo, eles dão todos os detalhes, a experiência e me sinto confortável ao escolher o médico. Fortis, PLS têm transpeência e está certo de um paciente."
1,5,Eu estava tendo problemas relacionados à menopausa e fui ver um ginecologista.
1,5,Eu realmente gostei do serviço lá!
1,4,Graças ao médico de emergência Abhishek e ao guarda de segurança lá
1,5,Diga olá com as mãos dobradas. E leve o paciente sentado na cadeira da roda ...
1,4,"Percebi que o preço é um pouco alto. Mas o tratamento é muito bom e o comportamento do médico também é muito bom. Então, não acho que esse hospital esteja perto do layout da HRS."
1,5,"Boa experiência, pessoal educado e serviço oportuno, bem organizado e higiênico"
1,5,Uma experiência muito agradável durante a nossa estadia e tratamento no Hospital Fortis de 27-7-2023 a 3-8-2023. Nós sentimos vontade de ficar em nossa própria casa. Dr.Rajkumar Deshpande e sua equipe fizeram a substituição da coluna cirúrgica C1 e C2 sob a máquina de braço com sucesso. Doctors e outros funcionários de apoio para seus maravilhosos serviços.
1,5,"Médicos altamente experientes. Sua análise, interações e tratamento são excelentes."
1,4,Os quartos são muito arrumados e limpos. Muito boa casa de casa.
1,5,As enfermeiras da equipe estão pé no chão. Seu carinho e hospitalidade são altamente apreciáveis.
1,5,"No geral, os serviços da admissão até a alta são excelentes."
1,5,Adoramos a hospitalidade dos funcionários e médicos. Eles são tão trabalhadores e fazem esforços para garantir boa saúde e segurança dos pacientes. Dr. Gayathri é um excelente médico que também fornece orientação e apoio emocional
1,5,"O serviço hospitalar tem sido muito bom. O paciente foi bombonizado em geral desde a consulta até a alta, tudo é contínuo e sem complicações. Fomos com o seguro e o tempo de processamento foi rápido."
1,5,"Dr. Sashidhara, cardiologista fez todos os esforços para diagnosticar o problema e sugeriu para o desvio e, mais tarde, o cirurgião"
1,5,"O Dr. Murali Manohar cuidou da operação com grande confiança. No geral, foi uma boa experiência o tempo todo."
